,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
153,9499887,https://www.google.com/patents/US9499887,Magnesium alloy sheet,11/22/16,22-Nov-16,9983,9,21,11,0,9,0
154,9499885,https://www.google.com/patents/US9499885,"Cu_‹ÓSi_‹ÓCo alloy for electronic materials, and method for producing same",11/22/16,22-Nov-16,9982,1,33,11,0,6,1
155,9496550,https://www.google.com/patents/US9496550,"Hydrogen storage alloy, hydrogen storage alloy electrode, secondary battery, and method for producing hydrogen storage alloy",11/15/16,15-Nov-16,9981,6,10,6,0,24,1
156,9496064,https://www.google.com/patents/US9496064,"Copper alloy for electric and electronic device, copper alloy sheet for electric and electronic device, conductive component for electric and electronic device, and terminal",11/15/16,15-Nov-16,9980,3,6,10,0,16,1
157,9493868,https://www.google.com/patents/US9493868,Aluminum or aluminum alloy-coated steel material and method of manufacturing the same,11/15/16,15-Nov-16,9979,9,9,5,0,15,1
158,9493867,https://www.google.com/patents/US9493867,Method of manufacturing a structural automotive part made from a rolled Al_‹ÓZn alloy,11/15/16,15-Nov-16,9978,2,14,2,0,5,1
159,9493866,https://www.google.com/patents/US9493866,"Amorphous alloy powder, dust core, magnetic element, and electronic device",11/15/16,15-Nov-16,9977,3,11,1,0,16,1
160,9493863,https://www.google.com/patents/US9493863,Wear-resistant alloy having complex microstructure,11/15/16,15-Nov-16,9976,1,24,3,0,2,1
161,9493862,https://www.google.com/patents/US9493862,Wear-resistant alloy having complex microstructure,11/15/16,15-Nov-16,9975,1,24,2,0,2,1
162,9493860,https://www.google.com/patents/US9493860,Chromium-containing austenitic alloy,11/15/16,15-Nov-16,9974,5,31,3,0,33,1
163,9493859,https://www.google.com/patents/US9493859,Manufacturing method of copper alloy sheet,11/15/16,15-Nov-16,9973,4,7,1,0,8,0
164,9493858,https://www.google.com/patents/US9493858,Copper alloy,11/15/16,15-Nov-16,9972,3,21,7,0,2,1
165,9492869,https://www.google.com/patents/US9492869,Double-alloy NdFeB rare earth permanent magnetic material and manufacturing method thereof,11/15/16,15-Nov-16,9971,1,25,1,0,12,0
